
***************************************************************************
                         EOV koordinátajegyzék
***************************************************************************

P.szám                   Y             X           h                kód       dátum        idõ
1097                 650133.904   238538.072     113.940        --------   2018.10.11   15:59:20
1098                 650133.902   238538.074     113.947        --------   2018.10.11   15:59:21
1099                 650133.905   238538.072     113.941        --------   2018.10.11   15:59:22
1100                 650133.904   238538.072     113.942        --------   2018.10.11   15:59:23
1101                 650133.905   238538.075     113.951        --------   2018.10.11   15:59:24
1102                 650133.905   238538.069     113.944        --------   2018.10.11   15:59:25
1103                 650133.905   238538.073     113.948        --------   2018.10.11   15:59:26
1104                 650133.903   238538.069     113.945        --------   2018.10.11   15:59:27
1105                 650133.903   238538.070     113.944        --------   2018.10.11   15:59:28
1106                 650133.901   238538.073     113.944        --------   2018.10.11   15:59:29
1107                 650133.898   238538.071     113.942        --------   2018.10.11   15:59:30
1108                 650133.901   238538.073     113.935        --------   2018.10.11   15:59:31
1109                 650133.900   238538.075     113.936        --------   2018.10.11   15:59:32
1110                 650133.901   238538.073     113.936        --------   2018.10.11   15:59:33
1111                 650133.900   238538.068     113.925        --------   2018.10.11   15:59:34
1112                 650133.903   238538.068     113.928        --------   2018.10.11   15:59:35
1113                 650133.903   238538.067     113.920        --------   2018.10.11   15:59:36
1114                 650133.904   238538.067     113.916        --------   2018.10.11   15:59:37
1115                 650133.903   238538.072     113.926        --------   2018.10.11   15:59:38
1116                 650133.903   238538.079     113.941        --------   2018.10.11   15:59:39
1117                 650133.903   238538.070     113.942        --------   2018.10.11   15:59:40
1118                 650133.903   238538.069     113.943        --------   2018.10.11   15:59:41
1119                 650133.902   238538.072     113.941        --------   2018.10.11   15:59:42
1120                 650133.903   238538.075     113.954        --------   2018.10.11   15:59:43
1121                 650133.902   238538.076     113.958        --------   2018.10.11   15:59:44
1122                 650133.902   238538.074     113.957        --------   2018.10.11   15:59:45
1123                 650133.901   238538.075     113.958        --------   2018.10.11   15:59:46
1124                 650133.901   238538.071     113.962        --------   2018.10.11   15:59:47
1125                 650133.900   238538.071     113.958        --------   2018.10.11   15:59:48
1126                 650133.902   238538.072     113.959        --------   2018.10.11   15:59:49
1127                 650133.903   238538.075     113.965        --------   2018.10.11   15:59:50
1128                 650133.901   238538.075     113.960        --------   2018.10.11   15:59:51
1129                 650133.903   238538.073     113.962        --------   2018.10.11   15:59:52
1130                 650133.903   238538.076     113.966        --------   2018.10.11   15:59:53
1131                 650133.903   238538.073     113.961        --------   2018.10.11   15:59:54
1132                 650133.902   238538.076     113.963        --------   2018.10.11   15:59:55
1133                 650133.903   238538.072     113.966        --------   2018.10.11   15:59:56
1134                 650133.902   238538.073     113.968        --------   2018.10.11   15:59:57
1135                 650133.903   238538.071     113.963        --------   2018.10.11   15:59:58
1136                 650133.903   238538.074     113.969        --------   2018.10.11   15:59:59
1137                 650133.905   238538.080     113.974        --------   2018.10.11   16:00:00
1138                 650133.905   238538.076     113.964        --------   2018.10.11   16:00:01
1139                 650133.905   238538.073     113.963        --------   2018.10.11   16:00:02
1140                 650133.902   238538.076     113.972        --------   2018.10.11   16:00:03
1141                 650133.902   238538.075     113.968        --------   2018.10.11   16:00:04
1142                 650133.901   238538.071     113.974        --------   2018.10.11   16:00:05
1143                 650133.901   238538.075     113.969        --------   2018.10.11   16:00:06
1144                 650133.906   238538.074     113.967        --------   2018.10.11   16:00:07
1145                 650133.903   238538.070     113.968        --------   2018.10.11   16:00:08
1146                 650133.904   238538.069     113.958        --------   2018.10.11   16:00:09
1147                 650133.903   238538.074     113.966        --------   2018.10.11   16:00:10
1148                 650133.902   238538.076     113.967        --------   2018.10.11   16:00:11
1149                 650133.905   238538.074     113.962        --------   2018.10.11   16:00:12
1150                 650133.906   238538.072     113.951        --------   2018.10.11   16:00:13
1151                 650133.906   238538.072     113.953        --------   2018.10.11   16:00:14
1152                 650133.904   238538.076     113.953        --------   2018.10.11   16:00:15
1153                 650133.904   238538.074     113.949        --------   2018.10.11   16:00:16
1154                 650133.905   238538.074     113.951        --------   2018.10.11   16:00:17
1155                 650133.906   238538.073     113.953        --------   2018.10.11   16:00:18
1156                 650133.907   238538.074     113.959        --------   2018.10.11   16:00:19
1157                 650133.907   238538.075     113.961        --------   2018.10.11   16:00:20
1158                 650133.904   238538.078     113.966        --------   2018.10.11   16:00:21
1159                 650133.903   238538.077     113.968        --------   2018.10.11   16:00:22
1160                 650133.906   238538.073     113.965        --------   2018.10.11   16:00:23
1161                 650133.907   238538.077     113.969        --------   2018.10.11   16:00:24
1162                 650133.906   238538.075     113.964        --------   2018.10.11   16:00:25
1163                 650133.904   238538.072     113.963        --------   2018.10.11   16:00:26
1164                 650133.905   238538.076     113.960        --------   2018.10.11   16:00:27
1165                 650133.905   238538.073     113.955        --------   2018.10.11   16:00:28
1166                 650133.906   238538.079     113.959        --------   2018.10.11   16:00:29
1167                 650133.904   238538.077     113.953        --------   2018.10.11   16:00:30
1168                 650133.903   238538.081     113.948        --------   2018.10.11   16:00:31
1169                 650133.904   238538.080     113.948        --------   2018.10.11   16:00:32
1170                 650133.903   238538.079     113.960        --------   2018.10.11   16:00:33
1171                 650133.905   238538.080     113.953        --------   2018.10.11   16:00:34
1172                 650133.906   238538.076     113.955        --------   2018.10.11   16:00:35
1173                 650133.906   238538.074     113.953        --------   2018.10.11   16:00:36
1174                 650133.904   238538.073     113.943        --------   2018.10.11   16:00:37
1175                 650133.906   238538.075     113.947        --------   2018.10.11   16:00:38
1176                 650133.903   238538.073     113.948        --------   2018.10.11   16:00:39
1177                 650133.903   238538.076     113.943        --------   2018.10.11   16:00:40
1178                 650133.905   238538.076     113.936        --------   2018.10.11   16:00:41
1179                 650133.904   238538.082     113.942        --------   2018.10.11   16:00:42
1180                 650133.907   238538.077     113.943        --------   2018.10.11   16:00:43
1181                 650133.900   238538.074     113.943        --------   2018.10.11   16:00:44
1182                 650133.906   238538.071     113.934        --------   2018.10.11   16:00:45
1183                 650133.904   238538.074     113.936        --------   2018.10.11   16:00:46
1184                 650133.906   238538.075     113.931        --------   2018.10.11   16:00:47
1185                 650133.905   238538.074     113.922        --------   2018.10.11   16:00:48
1186                 650133.904   238538.071     113.911        --------   2018.10.11   16:00:49
1187                 650133.906   238538.076     113.913        --------   2018.10.11   16:00:50
1188                 650133.907   238538.075     113.901        --------   2018.10.11   16:00:51
1189                 650133.905   238538.072     113.900        --------   2018.10.11   16:00:52
1190                 650133.905   238538.072     113.899        --------   2018.10.11   16:00:53
1191                 650133.907   238538.072     113.902        --------   2018.10.11   16:00:54
1192                 650133.905   238538.073     113.903        --------   2018.10.11   16:00:55
1193                 650133.906   238538.068     113.908        --------   2018.10.11   16:00:56
1194                 650133.908   238538.070     113.905        --------   2018.10.11   16:00:57
1195                 650133.906   238538.074     113.916        --------   2018.10.11   16:00:58
1196                 650133.906   238538.078     113.923        --------   2018.10.11   16:00:59
1197                 650133.907   238538.077     113.932        --------   2018.10.11   16:00:60
1198                 650133.907   238538.076     113.932        --------   2018.10.11   16:01:01
1199                 650133.905   238538.075     113.940        --------   2018.10.11   16:01:02
1200                 650133.905   238538.079     113.945        --------   2018.10.11   16:01:03
1201                 650133.905   238538.076     113.946        --------   2018.10.11   16:01:04
1202                 650133.902   238538.078     113.946        --------   2018.10.11   16:01:05
1203                 650133.903   238538.078     113.955        --------   2018.10.11   16:01:06
1204                 650133.907   238538.074     113.941        --------   2018.10.11   16:01:07
1205                 650133.901   238538.076     113.953        --------   2018.10.11   16:01:08
1206                 650133.903   238538.070     113.954        --------   2018.10.11   16:01:09
1207                 650133.904   238538.078     113.956        --------   2018.10.11   16:01:10
1208                 650133.902   238538.075     113.959        --------   2018.10.11   16:01:11
1209                 650133.904   238538.076     113.954        --------   2018.10.11   16:01:12
1210                 650133.905   238538.079     113.958        --------   2018.10.11   16:01:13
1211                 650133.905   238538.078     113.961        --------   2018.10.11   16:01:14
1212                 650133.905   238538.079     113.962        --------   2018.10.11   16:01:15
1213                 650133.905   238538.075     113.958        --------   2018.10.11   16:01:16
1214                 650133.904   238538.077     113.957        --------   2018.10.11   16:01:17
1215                 650133.903   238538.074     113.952        --------   2018.10.11   16:01:18
1216                 650133.905   238538.072     113.956        --------   2018.10.11   16:01:19
1217                 650133.904   238538.074     113.962        --------   2018.10.11   16:01:20
1218                 650133.904   238538.075     113.956        --------   2018.10.11   16:01:21
1219                 650133.902   238538.073     113.961        --------   2018.10.11   16:01:22
1220                 650133.905   238538.073     113.959        --------   2018.10.11   16:01:23
1221                 650133.903   238538.077     113.958        --------   2018.10.11   16:01:24
1222                 650133.903   238538.075     113.956        --------   2018.10.11   16:01:25
1223                 650133.901   238538.076     113.960        --------   2018.10.11   16:01:26
1224                 650133.902   238538.075     113.961        --------   2018.10.11   16:01:27
1225                 650133.901   238538.076     113.967        --------   2018.10.11   16:01:28
1226                 650133.905   238538.072     113.951        --------   2018.10.11   16:01:29
1227                 650133.904   238538.074     113.954        --------   2018.10.11   16:01:30
1228                 650133.905   238538.076     113.950        --------   2018.10.11   16:01:31
1229                 650133.903   238538.077     113.956        --------   2018.10.11   16:01:32
1230                 650133.902   238538.077     113.962        --------   2018.10.11   16:01:33
1231                 650133.900   238538.078     113.957        --------   2018.10.11   16:01:34
1232                 650133.902   238538.078     113.957        --------   2018.10.11   16:01:35
1233                 650133.904   238538.074     113.951        --------   2018.10.11   16:01:36
1234                 650133.903   238538.075     113.955        --------   2018.10.11   16:01:37
1235                 650133.901   238538.076     113.954        --------   2018.10.11   16:01:38
1236                 650133.904   238538.071     113.954        --------   2018.10.11   16:01:39
1237                 650133.903   238538.078     113.962        --------   2018.10.11   16:01:40
1238                 650133.901   238538.075     113.961        --------   2018.10.11   16:01:41
1239                 650133.902   238538.073     113.959        --------   2018.10.11   16:01:42
1240                 650133.904   238538.076     113.958        --------   2018.10.11   16:01:43
1241                 650133.903   238538.077     113.961        --------   2018.10.11   16:01:44
1242                 650133.904   238538.073     113.957        --------   2018.10.11   16:01:45
1243                 650133.905   238538.075     113.954        --------   2018.10.11   16:01:46
1244                 650133.903   238538.076     113.958        --------   2018.10.11   16:01:47
1245                 650133.903   238538.076     113.960        --------   2018.10.11   16:01:48
1246                 650133.902   238538.074     113.957        --------   2018.10.11   16:01:49
1247                 650133.901   238538.074     113.959        --------   2018.10.11   16:01:50
1248                 650133.903   238538.076     113.955        --------   2018.10.11   16:01:51
1249                 650133.903   238538.074     113.960        --------   2018.10.11   16:01:52
1250                 650133.905   238538.073     113.946        --------   2018.10.11   16:01:53
1251                 650133.903   238538.075     113.951        --------   2018.10.11   16:01:54
1252                 650133.904   238538.073     113.949        --------   2018.10.11   16:01:55
1253                 650133.903   238538.074     113.954        --------   2018.10.11   16:01:56
1254                 650133.905   238538.075     113.944        --------   2018.10.11   16:01:57
1255                 650133.905   238538.072     113.944        --------   2018.10.11   16:01:58
1256                 650133.905   238538.073     113.939        --------   2018.10.11   16:01:59
1257                 650133.904   238538.075     113.939        --------   2018.10.11   16:02:00
1258                 650133.904   238538.075     113.945        --------   2018.10.11   16:02:01
1259                 650133.903   238538.074     113.944        --------   2018.10.11   16:02:02
1260                 650133.900   238538.077     113.948        --------   2018.10.11   16:02:03
1261                 650133.903   238538.074     113.942        --------   2018.10.11   16:02:04
1262                 650133.905   238538.076     113.951        --------   2018.10.11   16:02:05
1263                 650133.903   238538.073     113.941        --------   2018.10.11   16:02:06
1264                 650133.903   238538.076     113.946        --------   2018.10.11   16:02:07
1265                 650133.902   238538.075     113.937        --------   2018.10.11   16:02:08
1266                 650133.903   238538.073     113.941        --------   2018.10.11   16:02:09
1267                 650133.902   238538.074     113.941        --------   2018.10.11   16:02:10
1268                 650133.903   238538.075     113.949        --------   2018.10.11   16:02:11
1269                 650133.903   238538.074     113.941        --------   2018.10.11   16:02:12
1270                 650133.903   238538.074     113.941        --------   2018.10.11   16:02:13
1271                 650133.903   238538.077     113.944        --------   2018.10.11   16:02:14
1272                 650133.905   238538.078     113.947        --------   2018.10.11   16:02:15
1273                 650133.901   238538.075     113.951        --------   2018.10.11   16:02:16
1274                 650133.904   238538.074     113.940        --------   2018.10.11   16:02:17
1275                 650133.903   238538.078     113.947        --------   2018.10.11   16:02:18
1276                 650133.901   238538.076     113.945        --------   2018.10.11   16:02:19
1277                 650133.903   238538.075     113.945        --------   2018.10.11   16:02:20
1278                 650133.903   238538.075     113.943        --------   2018.10.11   16:02:21
1279                 650133.903   238538.076     113.943        --------   2018.10.11   16:02:22
1280                 650133.903   238538.076     113.942        --------   2018.10.11   16:02:23
1281                 650133.903   238538.077     113.937        --------   2018.10.11   16:02:24
1282                 650133.902   238538.079     113.941        --------   2018.10.11   16:02:25
1283                 650133.900   238538.075     113.933        --------   2018.10.11   16:02:26
1284                 650133.902   238538.073     113.931        --------   2018.10.11   16:02:27
1285                 650133.906   238538.074     113.924        --------   2018.10.11   16:02:28
1286                 650133.906   238538.074     113.928        --------   2018.10.11   16:02:29
1287                 650133.906   238538.070     113.915        --------   2018.10.11   16:02:30
1288                 650133.901   238538.072     113.919        --------   2018.10.11   16:02:31
1289                 650133.905   238538.070     113.918        --------   2018.10.11   16:02:32
1290                 650133.905   238538.075     113.929        --------   2018.10.11   16:02:33
1291                 650133.901   238538.081     113.931        --------   2018.10.11   16:02:34
1292                 650133.904   238538.076     113.931        --------   2018.10.11   16:02:35
1293                 650133.904   238538.079     113.935        --------   2018.10.11   16:02:36
1294                 650133.904   238538.077     113.935        --------   2018.10.11   16:02:37
1295                 650133.902   238538.075     113.937        --------   2018.10.11   16:02:38
1296                 650133.906   238538.076     113.941        --------   2018.10.11   16:02:39
1297                 650133.904   238538.074     113.940        --------   2018.10.11   16:02:40
1298                 650133.905   238538.073     113.939        --------   2018.10.11   16:02:41
1299                 650133.905   238538.073     113.936        --------   2018.10.11   16:02:42
1300                 650133.905   238538.073     113.942        --------   2018.10.11   16:02:43
1301                 650133.903   238538.074     113.944        --------   2018.10.11   16:02:44
1302                 650133.905   238538.072     113.944        --------   2018.10.11   16:02:45
1303                 650133.906   238538.074     113.943        --------   2018.10.11   16:02:46
1304                 650133.905   238538.075     113.942        --------   2018.10.11   16:02:47
1305                 650133.903   238538.077     113.948        --------   2018.10.11   16:02:48
1306                 650133.904   238538.076     113.945        --------   2018.10.11   16:02:49
1307                 650133.906   238538.078     113.949        --------   2018.10.11   16:02:50
1308                 650133.906   238538.080     113.951        --------   2018.10.11   16:02:51
1309                 650133.905   238538.075     113.946        --------   2018.10.11   16:02:52
1310                 650133.904   238538.071     113.958        --------   2018.10.11   16:02:53
1311                 650133.904   238538.073     113.958        --------   2018.10.11   16:02:54
1312                 650133.903   238538.076     113.962        --------   2018.10.11   16:02:55
1313                 650133.903   238538.077     113.962        --------   2018.10.11   16:02:56
1314                 650133.902   238538.077     113.963        --------   2018.10.11   16:02:57
1315                 650133.902   238538.077     113.959        --------   2018.10.11   16:02:58
1316                 650133.905   238538.076     113.954        --------   2018.10.11   16:02:59
1317                 650133.906   238538.083     113.957        --------   2018.10.11   16:03:00
1318                 650133.907   238538.078     113.951        --------   2018.10.11   16:03:01
1319                 650133.903   238538.080     113.952        --------   2018.10.11   16:03:02
1320                 650133.903   238538.078     113.952        --------   2018.10.11   16:03:03
1321                 650133.905   238538.080     113.958        --------   2018.10.11   16:03:04
1322                 650133.905   238538.081     113.951        --------   2018.10.11   16:03:05
1323                 650133.905   238538.079     113.959        --------   2018.10.11   16:03:06
1324                 650133.901   238538.079     113.964        --------   2018.10.11   16:03:07
1325                 650133.901   238538.080     113.956        --------   2018.10.11   16:03:08
1326                 650133.900   238538.077     113.960        --------   2018.10.11   16:03:09
1327                 650133.905   238538.073     113.952        --------   2018.10.11   16:03:10
1328                 650133.905   238538.081     113.953        --------   2018.10.11   16:03:11
1329                 650133.904   238538.075     113.961        --------   2018.10.11   16:03:12
1330                 650133.903   238538.075     113.957        --------   2018.10.11   16:03:13
1331                 650133.903   238538.078     113.952        --------   2018.10.11   16:03:14
1332                 650133.903   238538.076     113.948        --------   2018.10.11   16:03:15
1333                 650133.906   238538.074     113.952        --------   2018.10.11   16:03:16
1334                 650133.903   238538.079     113.955        --------   2018.10.11   16:03:17
1335                 650133.901   238538.074     113.954        --------   2018.10.11   16:03:18
1336                 650133.903   238538.076     113.954        --------   2018.10.11   16:03:19
1337                 650133.904   238538.075     113.944        --------   2018.10.11   16:03:20
1338                 650133.904   238538.079     113.948        --------   2018.10.11   16:03:21
1339                 650133.906   238538.076     113.950        --------   2018.10.11   16:03:22
1340                 650133.906   238538.079     113.942        --------   2018.10.11   16:03:23
1341                 650133.905   238538.072     113.943        --------   2018.10.11   16:03:24
1342                 650133.902   238538.079     113.941        --------   2018.10.11   16:03:25
1343                 650133.902   238538.075     113.944        --------   2018.10.11   16:03:26
1344                 650133.902   238538.075     113.946        --------   2018.10.11   16:03:27
1345                 650133.905   238538.076     113.946        --------   2018.10.11   16:03:28
1346                 650133.904   238538.074     113.942        --------   2018.10.11   16:03:29
1347                 650133.907   238538.076     113.944        --------   2018.10.11   16:03:30
1348                 650133.908   238538.077     113.938        --------   2018.10.11   16:03:31
1349                 650133.904   238538.075     113.937        --------   2018.10.11   16:03:32
1350                 650133.903   238538.076     113.934        --------   2018.10.11   16:03:33
1351                 650133.903   238538.076     113.927        --------   2018.10.11   16:03:34
1352                 650133.902   238538.076     113.925        --------   2018.10.11   16:03:35
1353                 650133.905   238538.077     113.915        --------   2018.10.11   16:03:36
1354                 650133.902   238538.075     113.907        --------   2018.10.11   16:03:37
1355                 650133.903   238538.076     113.906        --------   2018.10.11   16:03:38
1356                 650133.902   238538.072     113.894        --------   2018.10.11   16:03:39
1357                 650133.905   238538.076     113.899        --------   2018.10.11   16:03:40
1358                 650133.905   238538.075     113.906        --------   2018.10.11   16:03:41
1359                 650133.904   238538.073     113.907        --------   2018.10.11   16:03:42
1360                 650133.904   238538.078     113.911        --------   2018.10.11   16:03:43
1361                 650133.905   238538.076     113.907        --------   2018.10.11   16:03:44
1362                 650133.904   238538.077     113.918        --------   2018.10.11   16:03:45
1363                 650133.904   238538.079     113.916        --------   2018.10.11   16:03:46
1364                 650133.906   238538.073     113.919        --------   2018.10.11   16:03:47
1365                 650133.905   238538.076     113.915        --------   2018.10.11   16:03:48
1366                 650133.901   238538.078     113.917        --------   2018.10.11   16:03:49
1367                 650133.902   238538.076     113.922        --------   2018.10.11   16:03:50
1368                 650133.906   238538.074     113.912        --------   2018.10.11   16:03:51
1369                 650133.903   238538.076     113.906        --------   2018.10.11   16:03:52
1370                 650133.902   238538.072     113.909        --------   2018.10.11   16:03:53
1371                 650133.908   238538.069     113.911        --------   2018.10.11   16:03:54
1372                 650133.904   238538.075     113.907        --------   2018.10.11   16:03:55
1373                 650133.906   238538.077     113.918        --------   2018.10.11   16:03:56
1374                 650133.901   238538.076     113.919        --------   2018.10.11   16:03:57
1375                 650133.904   238538.078     113.927        --------   2018.10.11   16:03:58
1376                 650133.908   238538.076     113.935        --------   2018.10.11   16:03:59
1377                 650133.905   238538.075     113.937        --------   2018.10.11   16:03:60
1378                 650133.904   238538.074     113.939        --------   2018.10.11   16:04:01
1379                 650133.903   238538.075     113.943        --------   2018.10.11   16:04:02
1380                 650133.907   238538.077     113.946        --------   2018.10.11   16:04:03
1381                 650133.906   238538.078     113.946        --------   2018.10.11   16:04:04
1382                 650133.904   238538.075     113.946        --------   2018.10.11   16:04:05
1383                 650133.903   238538.077     113.953        --------   2018.10.11   16:04:06
1384                 650133.904   238538.075     113.946        --------   2018.10.11   16:04:07
1385                 650133.903   238538.079     113.954        --------   2018.10.11   16:04:08
1386                 650133.902   238538.078     113.954        --------   2018.10.11   16:04:09
1387                 650133.902   238538.078     113.946        --------   2018.10.11   16:04:10
1388                 650133.905   238538.076     113.956        --------   2018.10.11   16:04:11
1389                 650133.904   238538.078     113.951        --------   2018.10.11   16:04:12
1390                 650133.904   238538.073     113.949        --------   2018.10.11   16:04:13
1391                 650133.904   238538.075     113.942        --------   2018.10.11   16:04:14
1392                 650133.906   238538.072     113.942        --------   2018.10.11   16:04:15
1393                 650133.905   238538.072     113.939        --------   2018.10.11   16:04:16
1394                 650133.902   238538.077     113.941        --------   2018.10.11   16:04:17
1395                 650133.905   238538.079     113.938        --------   2018.10.11   16:04:18
1396                 650133.906   238538.073     113.935        --------   2018.10.11   16:04:19
1397                 650133.904   238538.076     113.934        --------   2018.10.11   16:04:20
1398                 650133.904   238538.077     113.936        --------   2018.10.11   16:04:21
1399                 650133.903   238538.077     113.942        --------   2018.10.11   16:04:22
1400                 650133.904   238538.077     113.943        --------   2018.10.11   16:04:23
1401                 650133.904   238538.076     113.947        --------   2018.10.11   16:04:24
1402                 650133.908   238538.072     113.948        --------   2018.10.11   16:04:25
1403                 650133.905   238538.077     113.946        --------   2018.10.11   16:04:26
1404                 650133.904   238538.079     113.949        --------   2018.10.11   16:04:27
1405                 650133.907   238538.077     113.953        --------   2018.10.11   16:04:28
1406                 650133.904   238538.074     113.947        --------   2018.10.11   16:04:29
1407                 650133.906   238538.076     113.958        --------   2018.10.11   16:04:30
1408                 650133.903   238538.078     113.956        --------   2018.10.11   16:04:31
1409                 650133.906   238538.077     113.952        --------   2018.10.11   16:04:32
1410                 650133.905   238538.076     113.951        --------   2018.10.11   16:04:33
1411                 650133.905   238538.072     113.953        --------   2018.10.11   16:04:34
1412                 650133.905   238538.083     113.948        --------   2018.10.11   16:04:35
1413                 650133.905   238538.078     113.959        --------   2018.10.11   16:04:36
1414                 650133.906   238538.077     113.955        --------   2018.10.11   16:04:37
1415                 650133.908   238538.074     113.949        --------   2018.10.11   16:04:38
1416                 650133.906   238538.075     113.952        --------   2018.10.11   16:04:39
1417                 650133.905   238538.077     113.950        --------   2018.10.11   16:04:40
1418                 650133.909   238538.074     113.951        --------   2018.10.11   16:04:41
1419                 650133.907   238538.076     113.958        --------   2018.10.11   16:04:42
1420                 650133.905   238538.076     113.955        --------   2018.10.11   16:04:43
1421                 650133.906   238538.074     113.949        --------   2018.10.11   16:04:44
1422                 650133.907   238538.074     113.955        --------   2018.10.11   16:04:45
1423                 650133.906   238538.076     113.949        --------   2018.10.11   16:04:46
1424                 650133.905   238538.072     113.947        --------   2018.10.11   16:04:47
1425                 650133.907   238538.070     113.946        --------   2018.10.11   16:04:48
1426                 650133.909   238538.071     113.944        --------   2018.10.11   16:04:49
1427                 650133.905   238538.073     113.942        --------   2018.10.11   16:04:50
1428                 650133.906   238538.075     113.944        --------   2018.10.11   16:04:51
1429                 650133.909   238538.080     113.938        --------   2018.10.11   16:04:52
1430                 650133.906   238538.076     113.942        --------   2018.10.11   16:04:53
1431                 650133.908   238538.076     113.944        --------   2018.10.11   16:04:54
1432                 650133.906   238538.075     113.941        --------   2018.10.11   16:04:55
1433                 650133.905   238538.074     113.945        --------   2018.10.11   16:04:56
1434                 650133.908   238538.077     113.941        --------   2018.10.11   16:04:57
1435                 650133.905   238538.079     113.944        --------   2018.10.11   16:04:58
1436                 650133.907   238538.079     113.949        --------   2018.10.11   16:04:59
1437                 650133.906   238538.076     113.949        --------   2018.10.11   16:05:00
1438                 650133.907   238538.074     113.949        --------   2018.10.11   16:05:01
1439                 650133.908   238538.074     113.950        --------   2018.10.11   16:05:02
1440                 650133.906   238538.074     113.946        --------   2018.10.11   16:05:03
1441                 650133.902   238538.073     113.946        --------   2018.10.11   16:05:04
1442                 650133.905   238538.074     113.944        --------   2018.10.11   16:05:05
1443                 650133.904   238538.078     113.944        --------   2018.10.11   16:05:06
1444                 650133.906   238538.075     113.938        --------   2018.10.11   16:05:07
1445                 650133.907   238538.076     113.947        --------   2018.10.11   16:05:08
1446                 650133.906   238538.074     113.947        --------   2018.10.11   16:05:09
1447                 650133.903   238538.078     113.956        --------   2018.10.11   16:05:10
1448                 650133.905   238538.073     113.949        --------   2018.10.11   16:05:11
1449                 650133.905   238538.073     113.953        --------   2018.10.11   16:05:12
1450                 650133.903   238538.075     113.950        --------   2018.10.11   16:05:13
1451                 650133.899   238538.075     113.945        --------   2018.10.11   16:05:14
1452                 650133.905   238538.071     113.936        --------   2018.10.11   16:05:15
1453                 650133.906   238538.072     113.937        --------   2018.10.11   16:05:16
1454                 650133.906   238538.072     113.927        --------   2018.10.11   16:05:17
1455                 650133.906   238538.069     113.935        --------   2018.10.11   16:05:18
1456                 650133.904   238538.069     113.931        --------   2018.10.11   16:05:19
1457                 650133.904   238538.072     113.925        --------   2018.10.11   16:05:20
1458                 650133.901   238538.078     113.919        --------   2018.10.11   16:05:21
1459                 650133.903   238538.070     113.923        --------   2018.10.11   16:05:22
1460                 650133.904   238538.075     113.918        --------   2018.10.11   16:05:23
1461                 650133.906   238538.076     113.915        --------   2018.10.11   16:05:24
1462                 650133.904   238538.076     113.911        --------   2018.10.11   16:05:25
1463                 650133.905   238538.073     113.922        --------   2018.10.11   16:05:26
1464                 650133.901   238538.077     113.932        --------   2018.10.11   16:05:27
1465                 650133.902   238538.074     113.930        --------   2018.10.11   16:05:28
1466                 650133.904   238538.076     113.936        --------   2018.10.11   16:05:29
1467                 650133.903   238538.075     113.936        --------   2018.10.11   16:05:30
1468                 650133.902   238538.073     113.935        --------   2018.10.11   16:05:31
1469                 650133.902   238538.074     113.944        --------   2018.10.11   16:05:32
1470                 650133.903   238538.074     113.943        --------   2018.10.11   16:05:33
1471                 650133.902   238538.075     113.946        --------   2018.10.11   16:05:34
1472                 650133.902   238538.075     113.950        --------   2018.10.11   16:05:35
1473                 650133.904   238538.076     113.955        --------   2018.10.11   16:05:36
1474                 650133.902   238538.077     113.953        --------   2018.10.11   16:05:37
1475                 650133.900   238538.075     113.953        --------   2018.10.11   16:05:38
1476                 650133.900   238538.080     113.945        --------   2018.10.11   16:05:39
1477                 650133.899   238538.073     113.942        --------   2018.10.11   16:05:40
1478                 650133.901   238538.075     113.937        --------   2018.10.11   16:05:41
1479                 650133.902   238538.075     113.936        --------   2018.10.11   16:05:42
1480                 650133.900   238538.073     113.929        --------   2018.10.11   16:05:43
1481                 650133.902   238538.075     113.926        --------   2018.10.11   16:05:44
1482                 650133.904   238538.077     113.919        --------   2018.10.11   16:05:45
1483                 650133.902   238538.079     113.919        --------   2018.10.11   16:05:46
1484                 650133.902   238538.076     113.926        --------   2018.10.11   16:05:47
1485                 650133.903   238538.075     113.929        --------   2018.10.11   16:05:48
1486                 650133.903   238538.073     113.940        --------   2018.10.11   16:05:49
1487                 650133.905   238538.072     113.941        --------   2018.10.11   16:05:50
1488                 650133.903   238538.077     113.947        --------   2018.10.11   16:05:51
1489                 650133.903   238538.075     113.947        --------   2018.10.11   16:05:52
1490                 650133.903   238538.076     113.949        --------   2018.10.11   16:05:53
1491                 650133.903   238538.073     113.953        --------   2018.10.11   16:05:54
1492                 650133.902   238538.070     113.949        --------   2018.10.11   16:05:55
1493                 650133.904   238538.072     113.946        --------   2018.10.11   16:05:56
1494                 650133.903   238538.071     113.938        --------   2018.10.11   16:05:57
1495                 650133.902   238538.075     113.939        --------   2018.10.11   16:05:58
1496                 650133.903   238538.073     113.939        --------   2018.10.11   16:05:59
1497                 650133.906   238538.078     113.938        --------   2018.10.11   16:06:00
1498                 650133.905   238538.079     113.929        --------   2018.10.11   16:06:01
1499                 650133.901   238538.076     113.933        --------   2018.10.11   16:06:02
1500                 650133.904   238538.075     113.934        --------   2018.10.11   16:06:03
1501                 650133.907   238538.071     113.930        --------   2018.10.11   16:06:04
1502                 650133.905   238538.075     113.935        --------   2018.10.11   16:06:05
1503                 650133.904   238538.075     113.947        --------   2018.10.11   16:06:06
1504                 650133.901   238538.077     113.950        --------   2018.10.11   16:06:07
1505                 650133.906   238538.079     113.953        --------   2018.10.11   16:06:08
1506                 650133.903   238538.072     113.956        --------   2018.10.11   16:06:09
